FIL-USDT-SWAP,NEAR-USDT-SWAP,FIL-USDT-SWAP_log,NEAR-USDT-SWAP_log,Spread,ZScore
1.267,1.477,0.23665190133900194,0.3900130035492428,0.01710062237407725,-0.08395566968336919
1.268,1.477,0.2374408560150342,0.3900130035492428,0.017889577050109517,0.44076036614494163
1.268,1.482,0.2374408560150342,0.39339252687389514,0.015987131076598438,-0.8697111220907408
1.268,1.477,0.2374408560150342,0.3900130035492428,0.017889577050109517,0.4232177788466807
1.268,1.476,0.2374408560150342,0.3893357261782807,0.018270838986648913,0.6597058279632604
1.267,1.477,0.23665190133900194,0.3900130035492428,0.01710062237407725,-0.1320432268029487
1.267,1.48,0.23665190133900194,0.3920420877760237,0.015958383440853957,-0.8515194608584228
1.267,1.481,0.23665190133900194,0.3927175352856618,0.015578151594056067,-1.0173430809687574
1.268,1.483,0.2374408560150342,0.3940670631557951,0.015607412190172448,-0.9109458537935428
1.269,1.487,0.23822918873225055,0.3967606674780181,0.014879425531912266,-1.248460010999131
1.27,1.486,0.23901690047049992,0.39608794629556743,0.01604583437679591,-0.4402853951576251
1.272,1.484,0.24059046491793043,0.3947411447451887,0.018377558168162916,1.4402748367683258
1.272,1.484,0.24059046491793043,0.3947411447451887,0.018377558168162916,1.3036462149609733
1.276,1.484,0.24373018492259815,0.3947411447451887,0.02151727817283064,2.8474512666460563
1.275,1.486,0.2429461786103894,0.39608794629556743,0.019975112516685378,1.6406441237632245
1.275,1.486,0.2429461786103894,0.39608794629556743,0.019975112516685378,1.4602360162777672
1.275,1.489,0.2429461786103894,0.398104753701872,0.01883978461363972,0.749758495371756
1.278,1.489,0.24529635595534308,0.398104753701872,0.021189961958593406,1.8552160082638554
1.278,1.488,0.24529635595534308,0.3974329364109001,0.021568150234679978,1.7896381388782883
1.276,1.487,0.24373018492259815,0.3967606674780181,0.020380421722259873,1.11595983575054
1.276,1.487,0.24373018492259815,0.3967606674780181,0.020380421722259873,1.016083672452379
1.277,1.486,0.24451357705040216,0.39608794629556743,0.021542510956698152,1.3990426187494684
1.274,1.485,0.24216155714997162,0.395414772254663,0.019569443091973004,0.4699755996283051
1.275,1.487,0.2429461786103894,0.3967606674780181,0.01959641541005111,0.4174786282861241
1.275,1.48,0.2429461786103894,0.3920420877760237,0.022252660712241412,1.4678874015515024
1.275,1.486,0.2429461786103894,0.39608794629556743,0.019975112516685378,0.43269953066156963
1.274,1.486,0.24216155714997162,0.39608794629556743,0.019190491056267606,0.04711316464867877
1.274,1.489,0.24216155714997162,0.398104753701872,0.018055163153221948,-0.526385349850041
1.276,1.489,0.24373018492259815,0.398104753701872,0.019623790925848483,0.12453467404078752
1.276,1.48,0.24373018492259815,0.3920420877760237,0.023036667024450175,1.7068989520276436
1.276,1.488,0.24373018492259815,0.3974329364109001,0.020001979201935055,0.01711874547006597
